price,hall_effect,hotswap,backlight,screen,knob,category_encoded,brand_encoded,layout_encoded,mount_encoded,case_material_encoded,connectivity_encoded
45.0,0,1,1,0,0,2,40,2,7,1,2
39.0,0,1,1,0,0,2,40,7,7,1,1
59.0,0,1,1,0,0,2,40,7,7,1,2
59.0,0,1,1,0,0,2,40,3,1,1,2
65.0,0,1,1,0,1,2,40,3,1,1,2
85.0,0,1,1,0,1,2,40,15,1,1,2
79.0,0,1,1,0,0,2,40,9,1,1,2
90.0,0,1,1,0,1,2,40,0,1,0,2
85.0,0,1,1,0,1,2,40,7,1,0,2
79.0,0,1,1,0,1,2,40,7,1,1,2
69.0,0,1,1,0,0,2,40,2,1,1,2
111.0,0,1,0,0,0,2,40,3,1,0,1
104.0,0,1,1,0,0,2,40,7,1,0,2
199.0,0,1,1,0,0,2,40,11,1,0,1
52.0,0,1,1,0,0,2,40,2,3,1,1
107.0,0,1,1,0,1,2,40,3,1,0,2
80.0,0,1,1,0,1,2,40,7,1,0,2
126.0,0,1,1,0,1,2,40,9,1,0,2
40.0,0,0,1,0,0,2,40,2,7,1,1
119.0,0,1,1,0,0,2,40,3,5,1,2
79.0,0,1,1,0,0,2,40,1,1,1,2
28.0,0,1,1,0,1,2,40,3,1,1,2
28.0,0,1,1,0,1,2,40,3,1,1,2
50.0,0,1,1,0,1,2,40,9,3,1,2
79.0,0,1,1,0,0,2,40,11,1,1,2
66.0,0,1,1,0,0,2,40,15,1,1,2
129.0,0,1,1,0,1,2,40,3,1,0,2
119.0,0,1,1,0,0,2,40,1,1,0,2
60.0,0,1,1,0,1,2,40,3,1,0,2
119.0,0,1,1,0,1,2,40,7,1,0,2
199.0,0,1,1,0,0,2,41,3,1,0,2
279.0,0,1,1,0,0,2,41,9,1,1,2
169.0,0,1,1,0,0,2,42,9,3,0,2
99.0,0,1,1,0,0,2,43,3,1,1,0
45.0,0,1,1,0,0,2,43,18,1,0,2
59.0,0,1,0,0,1,1,44,3,5,0,2
109.0,0,1,1,0,1,2,45,7,1,0,2
139.0,0,1,1,0,1,2,45,7,1,0,2
83.0,0,0,1,0,0,2,45,9,1,1,1
79.0,0,1,1,0,1,2,45,9,1,1,2
169.0,0,1,1,0,1,2,45,9,1,1,2
119.0,0,1,1,0,1,2,45,9,1,1,2
119.0,0,1,1,0,0,2,45,17,1,0,2
59.0,0,1,1,0,0,2,45,9,1,0,2
58.0,0,1,1,0,0,2,45,7,1,1,2
59.0,0,1,1,0,0,2,45,7,1,0,2
39.0,0,1,1,0,1,2,45,18,1,1,2
99.0,0,1,1,0,0,1,46,7,1,1,2
189.0,0,0,0,0,0,2,47,9,3,1,1
139.0,0,0,0,0,0,2,47,9,3,1,1
139.0,0,0,0,0,0,2,47,9,3,1,0
149.0,0,0,0,0,0,2,47,0,3,1,0
125.0,0,0,0,0,0,2,47,9,3,1,1
129.0,0,0,0,0,0,2,47,9,3,1,0
259.0,0,0,0,0,0,2,47,9,3,1,2
129.0,0,0,0,0,0,2,47,0,3,1,2
160.0,0,0,0,0,0,2,47,0,3,1,2
149.0,0,0,0,0,0,2,47,0,3,1,2
99.0,0,0,0,0,0,2,47,2,3,1,2
99.0,0,0,0,0,0,2,47,2,3,1,2
99.0,0,0,0,0,0,2,47,2,3,1,2
169.0,0,0,0,0,0,2,47,0,3,1,1
69.0,0,0,0,0,0,2,47,18,3,1,1
144.0,0,0,0,0,0,2,47,0,3,1,1
132.0,0,0,0,0,0,2,47,9,3,1,0
104.0,0,0,0,0,0,2,47,18,3,1,1
104.0,0,0,0,0,0,2,47,3,3,1,0
144.0,0,0,0,0,0,2,47,9,3,1,0
269.0,0,0,0,0,1,2,47,3,7,1,0
75.0,0,0,0,0,0,2,48,3,7,0,2
38.0,0,0,0,0,0,2,48,18,7,1,2
169.0,0,1,1,0,0,2,48,3,1,1,2
199.0,0,1,1,0,0,2,48,3,1,1,2
189.0,0,1,1,0,0,2,48,3,1,1,2
189.0,0,1,1,0,1,2,48,7,1,1,2
149.0,0,1,0,0,1,2,48,7,1,1,2
179.0,0,1,0,0,0,2,49,3,1,0,2
129.0,0,1,1,0,0,2,50,3,7,1,2
129.0,0,1,1,0,0,2,50,9,7,0,2
115.0,0,0,1,0,0,2,50,9,7,1,1
99.0,0,1,1,0,0,2,50,15,7,0,2
189.0,0,1,1,0,0,2,50,17,7,1,0
185.0,0,1,1,0,0,2,50,17,7,1,2
199.0,0,1,1,0,0,2,50,15,7,1,2
79.0,0,0,1,0,0,2,50,9,7,1,2
79.0,0,1,1,0,0,2,50,3,7,1,2
119.0,0,1,1,0,0,2,50,15,7,1,2
99.0,0,1,1,0,0,2,50,7,1,0,2
139.0,0,1,1,0,0,2,50,0,1,1,2
129.0,0,1,1,0,1,2,50,7,1,1,2
89.0,0,1,1,0,0,2,50,9,1,1,2
119.0,0,0,1,0,0,2,50,9,7,1,0
143.0,0,1,1,0,0,2,50,0,7,0,2
129.0,0,1,1,0,0,2,50,9,7,0,2
109.0,0,1,1,0,0,2,50,0,7,1,2
119.0,0,0,1,0,0,2,50,17,1,0,2
89.0,0,1,1,0,0,2,50,7,1,1,2
79.0,0,1,1,0,0,2,50,9,1,1,2
115.0,0,1,1,0,1,1,51,17,7,1,2
139.0,0,1,1,0,1,1,52,7,7,0,2
169.0,0,1,0,0,0,2,53,3,1,0,2
129.0,0,1,1,0,1,1,54,18,3,0,2
36.0,0,0,1,0,0,1,55,7,7,1,2
60.0,0,1,1,0,0,1,55,7,1,1,2
